"","formula","n_tree","n_folds","error_per","MAE","n_predictors"
"147","price_RON~ make+mileage+age+model",500,4,0.542084759085295,22106.0779746001,4
"148","price_RON~ make+mileage+age+model+engine_power",500,4,0.220083845489881,9743.89599213809,5
"149","price_RON~ make+mileage+age+model+engine_power+fuel_type",500,4,0.235306092263746,9832.93103194248,6
"150","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",500,4,0.213812315144173,9054.96454844044,7
"151","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",500,4,0.200944793525663,8537.63684812376,8
"152","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",500,4,0.171210710969043,7941.2931513997,9
"153","price_RON~ make+mileage",1000,4,0.862409873434705,27082.4589481289,2
"154","price_RON~ make+mileage+age",1000,4,0.44998694537208,17934.8665176545,3
"155","price_RON~ make+mileage+age+model",1000,4,0.540651139687006,22062.3196430149,4
"156","price_RON~ make+mileage+age+model+engine_power",1000,4,0.219830669557011,9701.28579456099,5
"157","price_RON~ make+mileage+age+model+engine_power+fuel_type",1000,4,0.235560406922663,9854.35339401412,6
"158","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",1000,4,0.21142508177899,8988.58860234324,7
"159","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",1000,4,0.201082036087896,8578.56139192341,8
"160","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",1000,4,0.170796927964352,7913.24754224124,9
"161","price_RON~ make+mileage",100,5,0.909602553153097,28143.2096269963,2
"162","price_RON~ make+mileage+age",100,5,0.47500181392441,18445.5266714376,3
"163","price_RON~ make+mileage+age+model",100,5,0.601550685733563,24266.6221572325,4
"164","price_RON~ make+mileage+age+model+engine_power",100,5,0.203641472341686,9059.13718705498,5
"165","price_RON~ make+mileage+age+model+engine_power+fuel_type",100,5,0.198148180333364,8841.48628663901,6
"166","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",100,5,0.18684173394594,8605.61635149353,7
"167","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",100,5,0.176815180436426,8283.16064266706,8
"168","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",100,5,0.160403431734015,7796.53526158462,9
"169","price_RON~ make+mileage",200,5,0.913452073559791,28238.2457200113,2
"170","price_RON~ make+mileage+age",200,5,0.461130244426406,18100.7480592579,3
"171","price_RON~ make+mileage+age+model",200,5,0.603590427869508,24511.4555488235,4
"172","price_RON~ make+mileage+age+model+engine_power",200,5,0.202499422053204,8991.6794158495,5
"173","price_RON~ make+mileage+age+model+engine_power+fuel_type",200,5,0.201157907967053,8897.63048297914,6
"174","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",200,5,0.184419711927671,8589.83679009297,7
"175","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",200,5,0.178398502450888,8300.86893515475,8
"176","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",200,5,0.159025598422282,7776.37383437714,9
"177","price_RON~ make+mileage",300,5,0.922464814160115,28459.8166629794,2
"178","price_RON~ make+mileage+age",300,5,0.474075985719731,18252.3320728843,3
"179","price_RON~ make+mileage+age+model",300,5,0.601920590174678,24315.2075625003,4
"180","price_RON~ make+mileage+age+model+engine_power",300,5,0.202586119056454,8962.49760145802,5
"181","price_RON~ make+mileage+age+model+engine_power+fuel_type",300,5,0.199409305844929,8833.01618384725,6
"182","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",300,5,0.184157620399615,8528.88910354109,7
"183","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",300,5,0.178469969473539,8284.90350759071,8
"184","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",300,5,0.158757144506025,7711.15190775082,9
"185","price_RON~ make+mileage",500,5,0.921439284791684,28438.0008873006,2
"186","price_RON~ make+mileage+age",500,5,0.46160125466648,18052.6421643189,3
"187","price_RON~ make+mileage+age+model",500,5,0.603822700877824,24483.5960951414,4
"188","price_RON~ make+mileage+age+model+engine_power",500,5,0.202794779612459,8988.74698163984,5
"189","price_RON~ make+mileage+age+model+engine_power+fuel_type",500,5,0.200873961910162,8879.34218730017,6
"190","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",500,5,0.183002199202112,8558.97165844196,7
"191","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",500,5,0.17869016621218,8289.51060280112,8
"192","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",500,5,0.158418860051733,7720.52601766509,9
"193","price_RON~ make+mileage",1000,5,0.917010455888416,28339.3440332848,2
"194","price_RON~ make+mileage+age",1000,5,0.465017194638822,18160.8834564605,3
"195","price_RON~ make+mileage+age+model",1000,5,0.599961479704161,24327.1980746199,4
"196","price_RON~ make+mileage+age+model+engine_power",1000,5,0.204138130804593,9025.06463380852,5
"197","price_RON~ make+mileage+age+model+engine_power+fuel_type",1000,5,0.201259170864764,8890.57719720582,6
"198","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type",1000,5,0.184273482362822,8579.50240949703,7
"199","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox",1000,5,0.177715645344528,8269.31263582851,8
"200","price_RON~ make+mileage+age+model+engine_power+fuel_type+body_type+gearbox+engine_capacity",1000,5,0.158441460641833,7699.06722184754,9
