server_date_day,platform,sessions,leads,cr
2018-02-25,mobile-html5,35942,5928,0.16493239107450894
2018-02-25,desktop,518067,36361,0.07018590259561022
2018-02-26,desktop,414040,35716,0.08626219688918944
2018-02-26,mobile-html5,29545,5615,0.19004907767811813
2018-02-27,mobile-html5,29919,5476,0.18302750760386377
2018-02-27,desktop,420872,34916,0.08296109030774203
2018-02-28,desktop,402761,35434,0.0879777336931828
2018-02-28,mobile-html5,29034,5727,0.19725149824343874
2018-03-01,mobile-html5,29938,5547,0.18528291803059657
2018-03-01,desktop,416833,37001,0.08876696422788023
2018-03-02,desktop,409018,37449,0.0915583177268482
2018-03-02,mobile-html5,30993,6037,0.1947859194011551
2018-03-03,mobile-html5,33436,6967,0.20836822586433784
2018-03-03,desktop,412558,33714,0.08171941884535024
2018-03-04,mobile-html5,36869,6238,0.16919363150614336
2018-03-04,desktop,505493,36625,0.0724540201347991
2018-03-05,mobile-html5,30860,6435,0.20852235904082955
2018-03-05,desktop,393563,36996,0.09400273907862274
2018-03-06,desktop,391207,34179,0.08736806856728024
2018-03-06,mobile-html5,30664,5865,0.19126663188103313
2018-03-07,mobile-html5,29634,5766,0.19457380036444624
2018-03-07,desktop,386259,35371,0.09157327078462897
2018-03-08,mobile-html5,28473,5454,0.19154988936887576
2018-03-08,desktop,362017,32167,0.08885494327614449
2018-03-09,mobile-html5,29616,6471,0.2184967585089141
2018-03-09,desktop,380014,34677,0.09125190124574357
2018-03-10,desktop,357092,29618,0.08294221097084224
2018-03-10,mobile-html5,30961,6793,0.21940505797616355
2018-03-11,desktop,499672,35655,0.07135681006740421
2018-03-11,mobile-html5,38373,6961,0.1814035910666354
2018-03-12,mobile-html5,31235,6327,0.20256122939010726
2018-03-12,desktop,386374,36351,0.0940824175539762
2018-03-13,desktop,382653,35263,0.09215398807797143
2018-03-13,mobile-html5,32180,6658,0.20689869484151646
2018-03-14,mobile-html5,30332,5975,0.19698668073321904
2018-03-14,desktop,376169,35025,0.09310974588549295
2018-03-15,mobile-html5,28405,6072,0.21376518218623483
2018-03-15,desktop,358430,32910,0.0918170912033033
2018-03-16,desktop,398602,35792,0.08979382943387137
2018-03-16,mobile-html5,31100,6500,0.2090032154340836
2018-03-17,desktop,408993,32016,0.07828006836302821
2018-03-17,mobile-html5,33155,6959,0.20989292716030764
2018-03-18,mobile-html5,34988,6305,0.18020464159140276
2018-03-18,desktop,471117,31641,0.067161660479244
2018-03-19,desktop,401577,37529,0.09345405737878415
2018-03-19,mobile-html5,32601,6764,0.2074782982117113
2018-03-20,mobile-html5,32877,6537,0.19883201021991057
2018-03-20,desktop,392771,36839,0.09379256615177801
2018-03-21,desktop,394880,38793,0.098239971636953
2018-03-21,mobile-html5,35169,7431,0.2112940373624499
2018-03-22,desktop,82583,9347,0.11318310063814586
2018-03-22,mobile-html5,9133,2016,0.22073798313807072
