start date,cohort size,0 days later,1 days later,2 days later,3 days later,4 days later,5 days later,6 days later,7 days later,8 days later,9 days later,10 days later,11 days later,12 days later,13 days later,14 days later,15 days later,16 days later,17 days later,18 days later,19 days later,20 days later,21 days later,22 days later,23 days later,24 days later,25 days later,26 days later,27 days later,28 days later,29 days later,30 days later,31 days later,32 days later,33 days later,34 days later,35 days later,36 days later,37 days later,38 days later,39 days later,40 days later,41 days later,42 days later,43 days later,44 days later,45 days later,46 days later,47 days later,48 days later,49 days later,50 days later,51 days later,52 days later,53 days later,54 days later,55 days later,56 days later,57 days later,58 days later,59 days later,60 days later
2017-07-13,47515,47107,4722,3235,3061,2860,2431,2196,2036,1719,1600,1648,1797,1719,1640,1526,1333,1163,1228,1308,1209,1215,1134,967,930,1033,1079,1028,1037,970,871,865,837,829,925,1001,891,827,847,925,956,924,873,835,681,682,768,843,784,791,774,675,719,754,746,765,784,727,621,642,701,779
2017-07-14,42526,42157,3970,3474,2893,2346,2085,1886,1683,1445,1564,1651,1530,1465,1373,1212,1099,1125,1177,1087,1079,1039,970,882,968,991,946,955,928,839,754,773,799,807,841,819,786,759,778,813,834,776,716,660,659,679,768,731,734,668,684,618,657,722,694,675,654,614,590,605,675,617
2017-07-15,41119,40773,4484,3137,2484,2158,1882,1865,1899,1696,1600,1471,1355,1335,1267,1329,1156,1148,1015,987,962,1076,1081,1017,906,872,873,828,841,984,912,924,864,785,758,841,984,820,742,765,719,667,732,836,723,690,654,627,691,766,820,728,624,604,623,645,629,707,656,592,609,598
2017-07-16,47727,47380,4869,3471,2834,2498,2354,2544,2314,1877,1762,1669,1592,1487,1623,1508,1328,1256,1182,1195,1116,1409,1324,1127,1068,1007,987,1004,1216,1158,1119,1096,946,928,950,1176,1130,952,919,850,799,832,993,969,838,804,770,747,802,1015,948,768,747,778,753,716,896,868,725,736,713,678
2017-07-17,48172,47825,5352,3849,3145,2493,2055,2277,2332,2141,1959,1793,1553,1281,1405,1510,1370,1349,1279,1043,1033,1206,1309,1207,1091,1055,917,896,952,954,955,1057,1008,915,894,964,1000,982,906,866,702,706,885,948,875,867,833,731,720,826,816,809,779,768,652,621,705,769,755,731,697,651
2017-07-18,45279,44916,4932,3569,2693,2172,2248,2323,2065,1980,1788,1491,1296,1403,1435,1391,1330,1255,1075,1022,1197,1207,1123,1059,988,881,836,881,922,990,1007,949,885,848,964,980,926,839,818,734,696,812,838,809,776,762,689,703,743,791,787,742,762,615,631,707,774,726,708,690,630,636
2017-07-19,43623,43318,4572,3066,2405,2377,2419,2205,1847,1728,1469,1215,1342,1409,1275,1298,1190,1042,926,1071,1146,1089,1039,960,874,792,837,845,937,938,913,850,784,828,861,845,780,758,717,685,769,790,775,718,717,680,655,697,726,676,702,639,607,600,620,662,681,696,651,647,584,630
2017-07-20,42977,42686,4281,2949,2752,2648,2309,2092,1878,1577,1342,1366,1428,1345,1293,1207,1091,1029,1184,1165,1050,1066,1011,852,864,879,894,878,900,877,826,819,811,876,884,825,756,681,680,743,785,749,711,754,660,681,681,683,695,709,685,620,587,649,664,694,675,614,618,588,606,649
2017-07-21,43242,42902,4181,3559,3114,2581,2286,2056,1814,1443,1503,1471,1393,1341,1234,1173,1081,1171,1225,1111,1049,1020,993,914,929,882,898,914,918,890,845,861,924,856,827,750,689,725,765,803,775,713,712,690,632,710,756,676,674,646,581,587,665,712,658,635,647,606,626,670,688,612
2017-07-22,38444,38116,4353,2996,2453,2121,1863,1808,1737,1508,1345,1280,1157,1119,1151,1202,1112,967,930,905,880,914,1006,851,891,843,812,764,820,944,860,735,725,686,690,716,795,706,644,617,593,612,658,730,687,610,589,590,581,578,637,611,539,520,501,527,557,630,561,503,489,493
2017-07-23,50546,50216,5090,3717,3071,2699,2535,2414,2210,1754,1615,1597,1508,1542,1721,1650,1357,1262,1219,1162,1146,1409,1358,1247,1177,1072,1005,1094,1346,1251,1044,968,881,881,914,1062,1070,900,844,813,845,881,1010,979,789,789,800,760,770,948,941,777,737,750,719,745,957,835,704,710,678,556
2017-07-24,47449,47182,5556,3993,3293,2501,2001,2111,2102,1906,1740,1678,1465,1304,1545,1543,1460,1396,1269,1134,1047,1139,1102,1131,1098,1137,1059,977,1096,1155,1057,983,957,857,790,959,959,899,862,881,841,802,836,859,834,852,796,717,671,806,860,810,768,712,687,708,752,801,779,778,517,30
2017-07-25,50004,49673,5504,3978,2951,2298,2353,2296,2007,1924,1769,1499,1397,1613,1617,1521,1370,1376,1153,1095,1102,1157,1238,1253,1117,1084,1065,1110,1207,1088,1072,1005,873,859,976,994,974,938,928,856,821,926,968,959,948,854,787,768,825,880,872,842,796,743,757,802,842,779,812,559,28,
2017-07-26,47161,46856,5037,3341,2458,2392,2349,2125,1933,1781,1419,1425,1514,1514,1433,1328,1170,1028,1028,1038,1069,1094,1155,1087,1018,981,1022,1101,1034,998,952,848,790,911,932,896,859,846,776,778,789,847,865,853,844,719,700,741,804,744,761,742,660,650,700,722,691,697,486,26,,
2017-07-27,45805,45548,4516,2824,2807,2510,2142,2002,1787,1455,1421,1543,1510,1403,1359,1199,1133,1039,1056,1129,1130,1189,1170,1058,984,1030,1046,1066,1017,923,799,784,915,944,875,885,853,749,741,793,822,830,777,764,679,656,673,794,795,704,710,656,660,674,697,722,652,507,20,,,
2017-07-28,44098,43840,4001,3346,2892,2236,2118,1860,1654,1505,1547,1550,1381,1335,1282,1145,1058,1037,1035,1022,1049,1040,981,965,963,1015,976,927,840,791,761,795,850,787,773,773,796,785,777,789,772,742,759,685,689,768,772,739,684,691,644,620,644,671,670,691,473,24,,,,
2017-07-29,38308,38103,4157,2841,2184,1921,1757,1651,1650,1555,1320,1199,1135,1059,1134,1149,1102,1078,991,921,911,908,1006,903,843,794,752,703,799,865,817,711,662,656,627,665,770,683,621,560,587,593,619,726,628,559,578,540,538,618,655,606,516,501,524,371,13,,,,,
2017-07-30,44080,43861,4226,3047,2580,2226,1929,2243,2066,1621,1509,1388,1308,1271,1522,1395,1325,1282,1121,1017,1071,1299,1195,1063,975,949,849,852,1079,1038,870,809,777,751,861,997,908,764,722,717,726,688,813,832,732,690,666,647,735,893,800,646,678,662,483,17,,,,,,
2017-07-31,45223,44690,4773,3671,2831,2215,1836,2034,2028,1801,1675,1506,1347,1168,1160,1244,1248,1327,1172,1107,1021,1096,1157,1080,1014,902,829,833,960,1031,958,942,862,784,762,831,844,846,880,822,721,674,794,810,772,703,673,642,656,737,688,644,662,472,23,,,,,,,
2017-08-01,42130,41779,4565,3141,2381,1936,2107,2068,1898,1660,1467,1243,1161,1103,1180,1208,1218,1161,1053,1000,1038,1073,1075,940,893,807,780,870,969,926,842,811,747,740,738,780,740,742,713,616,598,659,744,740,667,652,695,606,614,653,642,618,422,19,,,,,,,,
2017-08-02,41829,41558,4487,2898,2334,2250,2195,1862,1703,1533,1393,1172,1212,1201,1195,1248,1119,1066,1017,1075,1120,1037,998,865,881,795,915,971,917,844,841,774,723,801,854,771,762,774,670,679,766,804,746,704,670,628,625,691,693,663,711,484,20,,,,,,,,,
2017-08-03,42472,42195,4267,2884,2724,2475,2196,1920,1831,1514,1360,1280,1306,1314,1368,1262,1141,1084,1129,1194,1170,1078,967,913,875,965,1000,972,952,900,856,828,860,855,789,829,841,682,715,766,788,728,780,741,696,669,733,703,699,744,471,26,,,,,,,,,,
2017-08-04,40917,40617,3779,3179,2728,2289,1986,1784,1550,1317,1359,1325,1277,1297,1216,1148,1067,1076,1093,1061,960,911,858,824,928,934,879,864,806,814,761,772,823,784,745,776,695,681,711,749,754,654,662,666,618,631,670,651,652,476,27,,,,,,,,,,,
2017-08-05,37300,36951,4232,2868,2237,1915,1743,1677,1689,1423,1450,1293,1145,1066,1183,1291,1118,1015,968,900,850,910,924,948,857,791,744,701,792,887,802,684,712,721,696,696,766,717,658,623,633,607,643,743,682,589,549,559,447,24,,,,,,,,,,,,
2017-08-06,48526,48212,4771,3411,2790,2481,2188,2450,2207,2032,1942,1637,1530,1542,1884,1738,1460,1377,1249,1165,1195,1398,1359,1118,1093,1053,974,1055,1306,1235,980,988,998,891,885,1102,1041,837,873,809,783,831,1047,1002,762,816,809,595,18,,,,,,,,,,,,,
2017-08-07,48532,48278,5590,4099,3280,2614,2189,2100,2023,2001,2012,1805,1655,1614,1641,1673,1594,1494,1367,1231,1218,1328,1378,1269,1261,1193,1149,1112,1120,1170,1129,1074,990,931,914,1076,1065,1039,951,943,925,890,941,920,896,926,623,26,,,,,,,,,,,,,,
2017-08-08,46677,46370,5760,4178,3184,2656,2512,2476,2408,2418,2205,1960,1896,1967,1969,1892,1754,1606,1494,1411,1537,1638,1599,1474,1411,1377,1290,1322,1331,1345,1349,1304,1198,1139,1264,1260,1237,1193,1144,1079,1075,1103,1141,1141,1109,783,33,,,,,,,,,,,,,,,
2017-08-09,45674,45337,5560,3739,3041,2737,2665,2504,2494,2285,2103,2013,1990,2024,1975,1792,1715,1499,1511,1552,1564,1563,1545,1456,1294,1296,1327,1408,1297,1300,1220,1079,1127,1183,1208,1218,1185,1127,1099,1066,1042,1156,1115,1060,769,52,,,,,,,,,,,,,,,,
2017-08-10,45520,45217,5271,3720,3353,3121,2931,2786,2536,2286,2194,2195,2174,2074,1926,1859,1688,1615,1687,1687,1620,1553,1585,1427,1452,1448,1405,1404,1372,1341,1204,1189,1264,1333,1285,1257,1206,1178,1186,1160,1189,1151,1207,841,49,,,,,,,,,,,,,,,,,
2017-08-11,43139,42771,4894,3788,3391,2982,2911,2528,2449,2115,2068,2061,1993,1761,1689,1604,1536,1637,1579,1520,1437,1393,1363,1353,1287,1368,1320,1308,1232,1124,1111,1265,1279,1175,1213,1145,1119,1117,1093,1078,1074,1138,832,49,,,,,,,,,,,,,,,,,,
2017-08-12,41537,41225,5480,4057,3320,2885,2523,2557,2710,2282,2055,1880,1782,1694,1756,1845,1723,1567,1474,1439,1461,1521,1622,1438,1240,1234,1294,1195,1237,1361,1252,1175,1180,1105,1091,1095,1290,1163,1056,1033,1067,805,30,,,,,,,,,,,,,,,,,,,
2017-08-13,48686,48302,6295,4690,3632,3188,3172,3440,3047,2490,2374,2151,2082,2073,2311,2214,1894,1751,1761,1756,1753,2039,1862,1561,1530,1546,1448,1482,1748,1690,1471,1394,1312,1377,1369,1635,1492,1280,1283,1255,954,23,,,,,,,,,,,,,,,,,,,,
2017-08-14,43631,43288,5376,4210,3400,2967,2650,2594,2428,2233,2009,1923,1786,1739,1844,1773,1614,1532,1477,1437,1443,1439,1410,1417,1335,1315,1191,1207,1265,1222,1181,1151,1127,1140,1087,1083,1074,1105,1046,773,23,,,,,,,,,,,,,,,,,,,,,
2017-08-15,47573,47181,5792,4151,3721,3722,3287,2832,2530,2295,2084,2053,2289,2299,2003,1835,1787,1766,1748,1895,1758,1618,1548,1490,1448,1423,1620,1583,1459,1369,1345,1270,1295,1527,1413,1255,1245,1229,885,30,,,,,,,,,,,,,,,,,,,,,,
2017-08-16,48561,48241,5965,4388,3451,3388,3217,2922,2551,2320,2137,1932,2148,2145,1948,1914,1791,1673,1652,1656,1628,1627,1610,1507,1420,1307,1439,1487,1452,1406,1349,1244,1224,1270,1346,1272,1276,881,45,,,,,,,,,,,,,,,,,,,,,,,
2017-08-17,46551,46233,5733,4053,3669,3544,3019,2719,2382,2117,1987,2139,2116,2051,1913,1810,1617,1580,1558,1664,1581,1545,1498,1292,1351,1399,1458,1388,1350,1263,1248,1208,1199,1223,1222,1159,882,41,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-18,43651,43304,5105,4123,3611,3074,2710,2504,2257,1999,2057,2113,1920,1836,1797,1638,1604,1578,1557,1537,1498,1451,1328,1339,1350,1338,1356,1304,1222,1192,1177,1190,1217,1167,1164,865,63,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-19,45171,44861,5978,4235,3435,3029,2665,2602,2632,2513,2277,2048,2027,1892,1949,2067,1917,1676,1594,1583,1515,1558,1687,1582,1488,1386,1353,1307,1428,1530,1372,1273,1216,1229,906,45,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-20,53094,52689,6125,4596,3738,3326,3231,3306,3175,2646,2405,2206,2123,2273,2518,2309,1906,1856,1855,1807,1753,1974,1961,1740,1630,1601,1544,1645,1813,1809,1490,1476,1472,1124,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-21,52719,52325,6700,4893,4080,3369,2864,3108,3057,2752,2480,2383,2161,1966,2094,2186,2012,2006,1863,1647,1596,1718,1857,1727,1702,1574,1492,1467,1523,1600,1527,1485,985,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-22,53750,53124,6552,4699,3814,3223,3370,3161,2927,2713,2535,2296,2158,2167,2299,2148,2111,1922,1737,1716,1763,1883,1786,1715,1643,1536,1461,1575,1597,1601,1548,1054,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-23,52844,52082,6316,4530,3592,3575,3450,3151,2807,2549,2339,2217,2245,2263,2156,2140,2019,1748,1761,1849,1870,1787,1706,1678,1602,1557,1612,1552,1607,1548,1102,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-24,49852,49032,5685,3962,3789,3610,3093,2844,2589,2276,2195,2139,2187,2028,1970,1787,1695,1658,1713,1743,1726,1592,1599,1507,1452,1491,1505,1454,1450,1017,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-25,47795,47101,5308,4384,3862,3320,2938,2580,2387,2306,2173,2086,2087,1958,1899,1684,1656,1677,1688,1629,1608,1590,1522,1469,1430,1469,1461,1464,1065,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-26,44949,44260,5908,3968,3300,2848,2625,2633,2726,2386,2007,1959,1834,1804,1801,1892,1795,1598,1534,1516,1498,1432,1634,1558,1312,1334,1282,999,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-27,54490,53927,6415,4704,3918,3516,3499,3711,3316,2598,2493,2411,2185,2196,2532,2416,2086,2019,1876,1875,1862,2227,2068,1719,1638,1670,1234,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-28,54417,53700,6819,5017,4154,3546,3102,3052,2983,2728,2541,2373,2080,1990,2216,2255,2078,2004,1804,1773,1748,1762,1848,1775,1727,1212,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-29,51872,51125,6449,4600,3623,3151,3090,3029,2779,2612,2348,2045,2106,2147,2247,2088,2002,1844,1664,1690,1714,1753,1796,1682,1265,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-30,50259,49611,6022,4362,3456,3239,3091,2918,2733,2421,2088,2038,2121,2082,2045,1934,1843,1617,1681,1628,1603,1687,1567,1143,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-31,48388,47861,5553,4024,3694,3343,2992,2756,2508,2158,2041,2136,2097,1974,1919,1800,1698,1621,1617,1666,1620,1573,1123,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,48461,47947,5552,4412,3794,3306,2992,2671,2317,2200,2195,2179,2019,1964,2004,1909,1813,1740,1724,1667,1625,1181,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-02,48758,48231,6147,4299,3553,3274,2934,2787,2812,2581,2354,2150,1932,1956,2115,2189,2019,1781,1779,1680,1269,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-03,57619,57012,6489,4996,4302,3723,3440,3788,3508,2882,2706,2543,2464,2543,2825,2572,2135,2083,2075,1473,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-04,52270,51739,6496,4899,4073,3242,2903,3053,2952,2729,2483,2273,2084,1993,2064,2150,2049,1961,1348,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-05,52579,52008,6503,4884,3633,3103,3169,3278,2908,2675,2459,2254,2047,2214,2275,2168,2096,1509,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-06,52726,52232,6322,4311,3455,3481,3435,3158,2794,2576,2342,2169,2180,2272,2193,2147,1453,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-07,52526,51963,5704,4258,4044,3753,3359,3085,2796,2406,2222,2291,2366,2238,2103,1535,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-08,49695,49153,5378,4477,3914,3288,2983,2754,2546,2308,2231,2178,2058,2066,1424,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-09,44925,44369,5796,4097,3356,2908,2614,2682,2769,2344,2089,1967,1874,1391,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-10,59097,58497,6772,5122,4244,3815,3643,3969,3651,2861,2706,2634,1923,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-11,55631,55107,6855,5061,4209,3531,3077,3060,3076,2808,2671,1870,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-12,56762,56184,6647,4962,3988,3494,3329,3263,3043,2864,1949,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-13,57383,56849,6182,4484,3493,3348,3290,3000,2814,1899,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-14,51630,51138,5969,4335,3954,3677,3320,3159,2184,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-15,49363,48743,5513,4495,3983,3406,3058,2056,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-16,49390,48864,6385,4303,3455,3161,2299,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-17,60211,59626,6599,5135,4422,3126,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
